,0
3286,085
3287,120
3288,113
3290,187
3291,154
3292,099
3293,080
3294,105
3295,041
3296,107
3297,128
3298,104
3299,093
3300,110
3301,160
3303,138
3304,112
3305,101
3306,110
3307,107
3308,065
3309,135
3310,118
3311,137
3312,117
3313,065
3314,118
3315,086
3317,140
3318,066
3319,064
3320,071
3321,089
3322,060
3323,061
3324,085
3325,045
3326,132
3327,053
3328,116
3329,133
3331,116
3332,082
3337,062
3339,068
3341,062
3342,060
3343,089
3344,075
3345,067
3346,096
3347,070
3348,063
3349,062
3350,042
3351,090
3353,170
3356,151
3357,121
3358,132
3359,124
3361,120
3362,157
3363,124
3365,110
3366,090
3367,097
3369,108
3371,095
3372,090
3373,102
3375,111
3376,137
3377,100
3378,053
3380,100
3381,087
3382,106
3383,112
3384,107
3385,087
3387,086
3390,100
3391,080
3392,097
3393,103
3394,109
3396,081
3397,182
3398,088
3399,098
3402,110
3404,114
3405,087
3408,132
3409,101
3410,145
3411,093
3413,116
3414,085
3417,084
3419,092
3420,098
3423,088
3424,099
3425,063
3426,121
3429,104
3430,104
3431,105
3432,135
3433,056
3434,107
3435,095
3437,096
3442,115
3443,117
3444,058
3445,062
3446,065
3447,061
3448,065
3449,065
3450,058
3451,060
3452,081
3453,126
3455,124
3456,085
3457,114
3458,093
3459,136
3460,185
3461,126
3464,099
3465,079
3466,026
3467,023
3468,107
3469,106
3470,133
3471,147
3474,095
3476,100
3477,149
3478,165
3479,124
3480,052
3481,150
3482,165
3484,084
3485,104
3486,114
3487,109
3489,088
3494,050
3497,087
3500,092
3507,143
3508,116
3509,112
3510,040
3512,094
3513,101
3514,104
3516,110
3517,111
3518,083
3520,101
3521,224
3522,118
3523,111
3524,185
3525,153
3526,145
3528,082
3529,140
3530,087
3532,068
3537,086
3539,086
3540,076
3542,115
3543,093
3545,098
3546,083
3547,081
3549,116
3551,105
3552,099
3553,121
3554,054
3555,078
3557,100
3558,089
3559,037
3560,033
3561,035
3562,032
3565,147
3566,132
3567,110
3569,132
3570,097
3571,108
3574,101
3576,068
3577,100
3579,022
3584,048
3587,025
3588,022
3589,022
3590,022
3593,044
3595,022
3597,111
3599,109
3601,078
3602,103
3603,158
3604,066
3605,024
3606,144
3607,093
3608,058
3609,116
3614,113
3615,090
3616,068
3617,104
3618,086
3620,118
